25
frase, autor, num_do_episodio
"Nossa única razão para existir é tornar-se FRANXX e lutar. Nós nascemos apenas para esse propósito, criados apenas para esse propósito. Mas para mim, o fracasso do grupo, isso é algo que eu não posso perdoar. Sem lugar que eu possa sentir como se eu pertencesse... foi quando eu te conheci.", Hiro, 01
"O ato de reunir dois pares de lábios, que nunca ouvimos falar, foi chamado de beijo, disse ela.", Hiro, 02
"Em um nome, há poder. Enquanto ainda éramos jovens, quando tudo o que tínhamos eram números de código, você poderia dizer que não tínhamos individualidade. Quem nos deu nomes foi o jovem Hiro. Naquela época, você era um guia para nós. Mas isso está no passado. Neste momento, eu não espero nada de você.", Mitsuru, 03
"Estamos sempre lutando contra nossos medos. Podemos acabar por arrastar o nosso parceiro. Podemos acabar falhando em mover nosso FRANX corretamente. Podemos tornar-nos desnecessários. Será que vamos ser capazes de superar nossos medos algum dia?", Ikuno, 04
"Se a plantação não tem combustível de magma, a cidade não consegue manter a função. É por isso que há instalações de mineração em todos os lugares, para continuar cavando o combustível. É o mesmo conosco e com a comida. Quando comemos muito, dá-nos força. Então, vamos comer!", Futoshi, 05
"Você é meu. Adoro a maneira como você tem gosto. É verdade: todos os fracos antes de morrerem. Isso é para ser esperado. Mas você é especial. Acredite em mim, ok, darling?", Zero Two, 06
"Fomos criados em uma instituição e agora vivemos na gaiola de pássaro. Há tantas coisas que não sabemos. Tomemos o mar, por exemplo. Como isso realmente cheira, o som das ondas de lavagem, o fato de que a água do mar tem um sabor salgado. Todas aquelas coisas que só tínhamos visto nos livros e em todas essas cenas, tudo foi mantido intacto lá.", Kokoro, 07
"O início da adolescência, é apenas uma pequena realização. Você não pode entender os outros, e eles não entendem você. Parece-me que há uma divisão tão grande entre nós. Uma mudança de coração como esse faz com que muitas coisas sejam óbvias, não mais óbvias.", Miku, 08
"Os primeiros trazem sentimentos especiais. O sentimento inspirado por receber algo de alguém. A sensação que você tem quando você quer dar algo a alguém. E então, há aquela sensação quando, no final, você não poderia dar. Eu tenho me perguntado por um longo tempo o que essa emoção era, mas finalmente me atingiu.", Goro, 09
"Eu nunca falei diretamente com um adulto. Mas eles estão sempre cuidando de nós. Se fizermos o nosso melhor, eles nos louvam e até nos dão recompensas. Se eu continuar lutando por eles, tenho certeza de que um dia eu também posso me tornar um adulto. Eu tenho sonhado desde sempre para este dia chegar.", Zorome, 10
"As crianças são geralmente obedientes, dóceis e racionais. Eles só vivem para cumprir sua missão: lutar contra o Klaxosaur e proteger os ADULTOS. Não estes miúdos. Muitas vezes, eles não sabem o que fazer com suas emoções e se deixam levar. Isso definitivamente não é semelhante ao CRIANCAS.", Nana, 11
"Nós chamamos o centro de treinamento para Parasitas, o Jardim. Lá, as crianças são criadas para desenvolver uma mente sã e aprender a se comportar adequadamente como crianças, elas são então podadas e apenas os parasitas que deixam o ninho do jardim com a cabeça erguida têm a honra de defender os adultos contra a ameaça do Klaxosaur.", Hachi, 12
"São pequenos fragmentos de memórias. É branco, frio e cheio de coisas desconhecidas, mas é bonito. No mundo exterior que eu senti pela primeira vez, ouvi uma voz me chamando de algum lugar. E diante dos meus olhos, uma mão calorosa estava me estendendo por mim.", Zero Two, 13
"Ela coloca uma maldição para drenar a vida do stamen, aquele que não é humano. Não posso considerá-la mais como uma de nós. Mesmo que ela seja considerada a chave para salvar o mundo, mesmo que como resultado eu seja odiada pela pessoa que eu considero mais importante.", Ichigo, 14
"Você e eu, sozinhos e solitários. Com as asas que eu rastreei com minhas próprias mãos, nunca mais será possível voar para longe. Os dias que eu poderia passar como sua asa, o céu que eu sonhei que poderíamos levar algum dia. Tudo começou a desaparecer, muito, muito longe.", Hiro, 15
"A gaiola ainda está aqui. E nós também. As pessoas que deveríamos proteger não estão mais lá e nossas asas ainda estão sendo reparadas, mas acreditamos que todos nós poderemos voar novamente em breve. Até lá, vamos passar por conta própria.", Futoshi, 16
"Tudo chega ao fim. A única diferença é se vem mais cedo ou mais tarde. E mesmo que sintamos que o fim está próximo, passamos outro dia, ociosos no berço de nossas vidas.", Ikuno, 17
"Vamos deixar a gaiola quando a sakura florescer. Juntos, tivemos nossas risadas e tivemos nossos confrontos. Todas essas memórias são tão delicadas quanto o vidro, mas também são o testemunho bonito e inestimável de que estávamos aqui.", Ikuno, 18
"O destino é cruel. Para obter algo, é preciso perder outra coisa. A humanidade tem procurado e sacrificado muito pelo que está além da vida, que é o nosso limite. E então nós a conhecemos, um ser tão bonito e perfeito.", Dr.FRANXX, 19
"Não nos tornaremos adultos. Continuamos a lutar até morrermos. Foi para isso que nascemos e fomos criados. Mas estamos prestes a decidir o nosso futuro. Estamos finalmente prontos para voar. Agora é a hora de nós, aninhados, deixarmos o ninho.", Zorome, 20
"Nós somos os defensores deste planeta. Era uma vez, durante uma longa batalha, nos transformamos em uma arma imortal. Exceto lutar, tudo estava perdido, então fomos dormir no fundo da morte, nosso vínculo era se preparar para o invasor que retornava.", 001, 21
"As coisas continuam mudando. Até agora, comida, abrigo, uma razão para viver, até mesmo um lugar para morrer, tudo só nos foi dado. Mas isso também acabou. Agora, nós acordamos desse longo sonho e nunca voltaremos a ser crianças. Essa escolha, nós fizemos isso por conta própria.", Goro e Ichigo, 22
